symbol,score,close,date
ABCB4,0.5000,21.88,2025-08-18
ABEV3,-2.5000,12.07,2025-08-18
AERI3,-2.2500,4.16,2025-08-18
AGRO3,2.2500,20.38,2025-08-18
ALOS3,2.5000,23.16,2025-08-18
ALPA4,2.5000,9.52,2025-08-18
ALUP11,-2.2500,29.20,2025-08-18
AMBP3,-2.2500,14.07,2025-08-18
ANIM3,0.2500,3.37,2025-08-18
ARML3,2.5000,3.91,2025-08-15
ASAI3,2.2500,10.25,2025-08-18
AURE3,2.5000,10.31,2025-08-18
AZZA3,0.7500,34.00,2025-08-18
B3SA3,0.5000,13.16,2025-08-18
BBAS3,2.5000,21.07,2025-08-18
BBDC3,2.5000,14.00,2025-08-18
BBDC4,2.5000,16.35,2025-08-18
BBSE3,-2.2500,32.86,2025-08-18
BEEF3,2.2500,5.12,2025-08-18
BHIA3,-2.2500,2.86,2025-08-18
BLAU3,2.2500,12.30,2025-08-18
BMOB3,0.2500,21.06,2025-08-18
BPAC11,2.5000,45.07,2025-08-18
BPAN4,0.0000,8.13,2025-08-18
BRAP4,-2.2500,15.88,2025-08-18
BRAV3,-1.7500,19.67,2025-08-18
BRBI11,-2.2500,15.36,2025-08-18
BRFS3,-0.2500,19.90,2025-08-18
BRKM5,0.5000,7.95,2025-08-18
BRSR6,2.5000,11.94,2025-08-18
CAML3,-2.2500,4.43,2025-08-18
CASH3,-0.2500,5.50,2025-08-18
CBAV3,-2.5000,3.09,2025-08-18
CEAB3,0.7500,15.91,2025-08-18
CMIG4,-0.5000,10.73,2025-08-18
CMIN3,0.2500,4.88,2025-08-18
COGN3,2.2500,2.93,2025-08-18
CPFE3,-0.7500,39.32,2025-08-18
CPLE3,-1.2500,11.27,2025-08-18
CPLE6,-1.2500,12.08,2025-08-18
CSAN3,2.2500,5.77,2025-08-18
CSMG3,0.5000,26.75,2025-08-18
CSNA3,0.2500,7.08,2025-08-18
CURY3,2.5000,32.60,2025-08-18
CVCB3,0.0000,2.10,2025-08-18
CXSE3,2.5000,13.83,2025-08-18
CYRE3,-0.2500,25.39,2025-08-18
DASA3,2.2500,1.44,2025-08-15
DIRR3,0.0000,14.09,2025-08-18
DXCO3,2.2500,5.81,2025-08-18
ECOR3,2.2500,7.17,2025-08-18
EGIE3,0.7500,39.75,2025-08-18
ELET3,-1.0000,42.29,2025-08-18
ELET6,-1.0000,45.98,2025-08-18
EMBR3,1.2500,78.41,2025-08-18
ENEV3,0.5000,14.10,2025-08-18
ENGI11,-1.2500,46.90,2025-08-18
EQTL3,0.5000,35.94,2025-08-18
EVEN3,0.5000,7.15,2025-08-18
EZTC3,-1.2500,14.27,2025-08-18
FESA4,0.2500,6.22,2025-08-18
FLRY3,-1.2500,14.17,2025-08-18
FRAS3,1.0000,22.50,2025-08-18
GFSA3,-2.2500,13.82,2025-08-18
GGBR4,1.7500,16.45,2025-08-18
GGPS3,2.5000,16.89,2025-08-18
GMAT3,-2.2500,7.07,2025-08-18
GOAU4,1.7500,9.18,2025-08-18
GRND3,2.5000,5.37,2025-08-18
GUAR3,2.2500,8.51,2025-08-18
HAPV3,2.5000,39.37,2025-08-18
HBSA3,0.2500,3.68,2025-08-18
HYPE3,0.0000,23.05,2025-08-18
IGTI11,2.5000,22.25,2025-08-18
INTB3,0.5000,12.79,2025-08-18
IRBR3,2.5000,47.70,2025-08-18
ISAE4,0.5000,22.27,2025-08-18
